N,Fecha colapso,Nombre,Tipo de Puente,Causa principal,Material,Colapso,Estado,Pais
325,2010,Gungahlin,Viga,Deficiencia constructiva,Hormig�n armado,Parcial,Construccion,Australia
326,1879,Tay rail,Viga,Deficiencia constructiva,Hierro Fundido,Total,Servicio,Reino Unido
327,1882,Inverythan,Viga,Deficiencia constructiva,Hierro Fundido,Total,Servicio,Reino Unido
328,1884,Camberwell,Viga,Deficiencia constructiva,Hierro Fundido,Total,Servicio,Reino Unido
329,1967,Bickton Meadows,Viga,Deficiencia constructiva,Hormig�n armado,Parcial,Servicio,Reino Unido
330,1894,Stargard RC,Arco,Deficiencia estructural,Hormig�n armado,Colapso,Construccion,Alemania
331,1902,Cornelius,No definido,Deficiencia estructural,No definido,Total,Construccion,Alemania
332,1905,Heidelberg,Armadura,Deficiencia estructural,Acero,Parcial,Construccion,Alemania
333,1923,Flensburg,Arco,Deficiencia estructural,Piedra,Total,Construccion,Alemania
334,1954,Kaiserslautern,No definido,Deficiencia estructural,Hormig�n armado,Parcial,Construccion,Alemania
335,1956,Nordbr�cke,No definido,Deficiencia estructural,No definido,Parcial,Construccion,Alemania
336,1960,Leda,Armadura,Deficiencia estructural,Hormig�n armado,Parcial,Servicio,Alemania
337,1961,Limburg,Viga,Deficiencia estructural,Hormig�n armado,Parcial,Construccion,Alemania
338,1963,Heidingsfeld,Viga,Deficiencia estructural,Hormig�n armado,Parcial,Construccion,Alemania
339,1966,Vorland Rees-Kalkar,Viga,Deficiencia estructural,Hormig�n armado,Parcial,Construccion,Alemania
340,1968,A2,No definido,Deficiencia estructural,No definido,Parcial,Servicio,Alemania
341,1971,Wenigsen,No definido,Deficiencia estructural,No definido,Parcial,Construccion,Alemania
342,1971,Koblenz,Viga,Deficiencia estructural,Acero,Parcial,Construccion,Alemania
343,1972,Hangbr�cke,Viga,Deficiencia estructural,No definido,Parcial,Construccion,Alemania
344,1973,Zeulenroda,Viga,Deficiencia estructural,Acero,Parcial,Construccion,Alemania
345,1974,Kempten,No definido,Deficiencia estructural,No definido,Total,Construccion,Alemania
346,1977,Bad Cannstatt,Armadura,Deficiencia estructural,Madera,Total,Construccion,Alemania
347,1982,Sin nombre,Armadura,Deficiencia estructural,Acero,Total,Construccion,Alemania
348,1982,Dedensen,Viga,Deficiencia estructural,Hormig�n armado,Total,Construccion,Alemania
349,1985,Grosshessenlohe,Armadura,Deficiencia estructural,Hormig�n armado,Parcial,Construccion,Alemania
350,1988,Aschaffenburg,No definido,Deficiencia estructural,No definido,Total,Construccion,Alemania
351,1995,Cologne-Wahn Airport,Viga,Deficiencia estructural,Hormig�n armado,Parcial,Construccion,Alemania
352,1970,West Gate,Viga,Deficiencia estructural,Hormig�n armado,Total,Construccion,Australia
353,1962,King street,No definido,Deficiencia estructural,No definido,Parcial,Servicio,Australia
354,1891,Bergbr�cke,Armadura,Deficiencia estructural,Hierro fundido,Total,Construccion,Austria
355,1969,Fourth Danube,Viga,Deficiencia estructural,Hormig�n armado,Parcial,Construccion,Austria
356,1970,Soboth,Viga,Deficiencia estructural,Hormig�n armado,Total,Construccion,Austria
357,1975,Tauern,Viga,Deficiencia estructural,Hormig�n armado,Parcial,Construccion,Austria
358,1982,Rhine,No definido,Deficiencia estructural,No definido,Parcial,Construccion,Austria
359,1978,Mathabhanga,Viga,Deficiencia estructural,Hormig�n armado,Total,Servicio,Bangladesh
360,1966,Boudewijnsnelweg,Viga,Deficiencia estructural,Hormig�n armado,Parcial,Servicio,Belgica
361,1940,Herenthalsoolen,Arco,Deficiencia estructural,Acero,Parcial,Servicio,Belgica
362,1940,Haulille,Arco,Deficiencia estructural,Acero,Parcial,Servicio,Belgica
363,1970,Niteroi,Viga,Deficiencia estructural,Hormig�n armado,Parcial,Construccion,Brasil
364,1971,Paulo de Fronton,Armadura,Deficiencia estructural,Hormig�n armado,Total,Construccion,Brasil
365,2004,Mungo,Viga,Deficiencia estructural,Acero,Parcial,Servicio,Cameroon
366,1857,Desjardins,Viga,Deficiencia estructural,Acero,Total,Servicio,Canada
367,2000,Boulevard du Souvenir,Viga,Deficiencia estructural,Hormig�n armado,Total,Servicio,Canada
368,1916,Quebec,Armadura,Deficiencia estructural,Acero,Parcial,Construccion,Canada
369,1957,Dawson-Creek,Suspension,Deficiencia estructural,Hormig�n armado,Parcial,Servicio,Canada
370,1958,Second Narrows,Viga,Deficiencia estructural,No definido,Total,Construccion,Canada
371,1966,Rideau,Arco,Deficiencia estructural,Hormig�n armado,Total,Construccion,Canada
372,1982,Elwood,Arco,Deficiencia estructural,Hormig�n armado,Total,Construccion,Canada
373,1984,Sept-Iles,Viga,Deficiencia estructural,Hormig�n armado,Total,Construccion,Canada
374,2006,Boulevard de la Concorde,No definido,Deficiencia estructural,Hormig�n armado,Parcial,Servicio,Canada
375,2009,Hongqi,Viga,Deficiencia estructural,No definido,Total,Servicio,China
376,2012,Guangchang Hedong,No definido,Deficiencia estructural,Hormig�n armado,Parcial,Servicio,China
377,2018,Zheijang,No definido,Deficiencia estructural,No definido,Total,Servicio,China
378,1999,Chongjng,Arco,Deficiencia estructural,Acero,Total,Servicio,China
379,2005,Xiaojianshan,Viga,Deficiencia estructural,Hormig�n armado,Total,Construccion,China
380,"Octubre, 1993",Samana,No definido,Deficiencia estructural,Hormig�n armado,Total,Servicio,Colombia
381,"Junio, 1994",Los Angeles,No definido,Deficiencia estructural,Hormig�n armado,Total,Servicio,Colombia
382,"Junio, 1995",Heredia,No definido,Deficiencia estructural,Hormig�n armado,Total,Servicio,Colombia
383,"Enero, 1996",Pescadero,No definido,Deficiencia estructural,Acero,Total,Servicio,Colombia
384,"Abril, 1998",Recio,No definido,Deficiencia estructural,No definido,Parcial,Servicio,Colombia
385,1999,Autonorte y 122,No definido,Deficiencia estructural,Hormig�n armado,Parcial,Servicio,Colombia
386,2018,Chirajara,No definido,Deficiencia estructural,Hormig�n armado,Parcial,Servicio,Colombia
387,1994,Seongsu,Arco,Deficiencia estructural,Hormig�n armado,Parcial,Servicio,Corea
388,2007,Sin nombre,No definido,Deficiencia estructural,No definido,Parcial,Construccion,Corea
389,1981,Cheju,Suspension,Deficiencia estructural,Hormig�n armado,Total,Construccion,Corea
390,1994,Sungsu,Armadura,Deficiencia estructural,Hormig�n armado,Parcial,Servicio,Corea
391,1972,Fiskeb�kbroen,Viga,Deficiencia estructural,Hormig�n armado,Parcial,Construccion,Dinamarca
392,1971,Ringsted,Viga,Deficiencia estructural,Hormig�n armado,Parcial,Construccion,Dinamarca
393,2006,Aalborg,Viga,Deficiencia estructural,Hormig�n armado,Parcial,Construccion,Dinamarca
394,2006,Zamora,No definido,Deficiencia Estructural,Hormig�n armado,Parcial,Servicio,Ecuador
395,2009,Pichincha,No definido,Deficiencia Estructural,Hormig�n armado,Total,Construccion,Ecuador
396,2010,Guayas,No definido,Deficiencia Estructural,Hormig�n armado,Parcial,Construccion,Ecuador
397,2010,Guayas,No definido,Deficiencia Estructural,Hormig�n armado,Parcial,Servicio,Ecuador
398,2011,Manabi,No definido,Deficiencia Estructural,Hormig�n armado,Total,Construccion,Ecuador
399,2014,Napo,No definido,Deficiencia Estructural,Acero,Total,Servicio,Ecuador
400,1982,Brenes,No definido,Deficiencia estructural,No definido,Total,Servicio,Espa�a
401,2010,Myllysilta,No definido,Deficiencia estructural,No definido,Parcial,Servicio,Finlandia
402,1881,Miramont,Armadura,Deficiencia estructural,Acero,Total,Construccion,Francia
403,1978,Bihar,No definido,Deficiencia estructural,No definido,Total,Construccion,India
404,2004,Dombivli,No definido,Deficiencia estructural,No definido,Total,Construccion,India
405,1996,Grogol,No definido,Deficiencia estructural,No definido,Parcial,Construccion,Indonesia
406,2004,Suramadu,Viga,Deficiencia estructural,Hormig�n armado,Total,Construccion,Indonesia
407,1997,Maccabiah,Viga,Deficiencia estructural,Hormig�n armado,Total,Servicio,Israel
408,2017,Camerano,No definido,Deficiencia estructural,No definido,Total,Servicio,Italia
409,2018,Ponte Morandi,Atirantado,Deficiencia estructural,Hormig�n armado,Parcial,Construccion,Italia
410,2020,Caprigliola,Arco,Deficiencia estructural,Hormig�n armado,Total,Servicio,Italia
411,1984,Tama,Viga,Deficiencia estructural,Hormig�n armado,Total,Construccion,Japon
412,1991,Hiroshima,No definido,Deficiencia estructural,No definido,Total,Construccion,Japon
413,1967,Mexico City,Viga,Deficiencia estructural,No definido,Total,Construccion,Mexico
414,2013,E6 at Lade,No definido,Deficiencia estructural,No definido,Total,Construccion,Noruega
415,2016,Perkolo,Armadura,Deficiencia estructural,Acero y madera,Total,Servicio,Noruega
416,2022,Tretten,Armadura,Deficiencia estructural,Acero y madera,Total,Servicio,Noruega
417,1967,Willemstad,Viga,Deficiencia estructural,Acero,Total,Construccion,Paises Bajos
418,1996,Koror Babeldaob,Atirantado,Deficiencia estructural,Hormig�n armado,Parcial,Construccion,Palau
419,1847,Dee bridge,Viga,Deficiencia estructural,Hierro Fundido,Total,Servicio,Reino Unido
420,1970,Cleddau,Viga,Deficiencia estructural,Hormig�n armado,Parcial,Servicio,Reino Unido
421,1849,Britannia,Armadura,Deficiencia estructural,Hierro Fundido,Parcial,Construccion,Reino Unido
422,1892,Strathglass,Armadura,Deficiencia estructural,Hierro Fundido,Total,Construccion,Reino Unido
423,1959,Barton,No definido,Deficiencia estructural,No definido,Parcial,Construccion,Reino Unido
424,1962,Fife,No definido,Deficiencia estructural,No definido,Parcial,Construccion,Reino Unido
425,1967,Calder,Viga,Deficiencia estructural,Hormig�n armado,Parcial,Construccion,Reino Unido
426,1970,Cleddau,No definido,Deficiencia estructural,No definido,Total,Construccion,Reino Unido
427,1972,A329,No definido,Deficiencia estructural,Hormig�n armado,Parcial,Construccion,Reino Unido
428,1892,Ljubitschewo,Viga,Deficiencia estructural,No definido,Parcial,Construccion,Serbia
429,1893,Morava,No definido,Deficiencia estructural,No definido,Total,Servicio,Serbia
430,1998,Injaka,Viga,Deficiencia estructural,Hormig�n armado,Total,Construccion,Sudafrica
431,1959,Goteborg,Arco,Deficiencia estructural,No definido,Parcial,Construccion,Suecia
432,1884,Salez,Armadura,Deficiencia estructural,Acero,Total,Construccion,Suiza
433,1913,G�tikhausen,Armadura,Deficiencia estructural,Acero,Total,Construccion,Suiza
434,1973,Illarsaz,Viga,Deficiencia estructural,Hormig�n armado,Total,Construccion,Suiza
435,1973,Valengin,Viga,Deficiencia estructural,Hormig�n armado,Total,Construccion,Suiza
436,No date,Sin nombre,Armadura,Deficiencia estructural,Madera,Total,Servicio,Turquia
437,No date,Sin nombre,Armadura,Deficiencia estructural,Madera,Total,Servicio,Turquia
438,No date,Sin nombre,Viga,Deficiencia estructural,Hormig�n armado,Total,Servicio,Turquia
439,1882,New Jersey,Trestle,Deficiencia estructural,Acero,Parcial,Servicio,USA
440,1927,Ohio,Armadura,Deficiencia estructural,Acero,Parcial,Construccion,USA
441,1965,Kansas,Arco,Deficiencia estructural,Hormig�n armado,Parcial,Servicio,USA
442,1972,California,Viga,Deficiencia estructural,Hormig�n armado,Parcial,Construccion,USA
443,1887,Virginia,Armadura,Deficiencia estructural,Hierro fundido,Parcial,Construccion,USA
444,1949,West Virginia,Armadura,Deficiencia estructural,Hormig�n armado,Parcial,Construccion,USA
445,1975,Minnesota,Viga,Deficiencia estructural,Hormig�n armado,Parcial,Servicio,USA
446,1982,Indiana,Viga,Deficiencia estructural,Hormig�n armado,Parcial,Construccion,USA
447,1982,Michigan,Viga,Deficiencia estructural,Hormig�n armado,Parcial,Construccion,USA
448,1985,Colorado,Viga,Deficiencia estructural,Hormig�n armado,Parcial,Construccion,USA
449,1988,Washington,Viga,Deficiencia estructural,Hormig�n armado,Parcial,Construccion,USA
450,1989,California,Viga,Deficiencia estructural,Hormig�n armado,Parcial,Construccion,USA
451,2004,Nebraska,Viga,Deficiencia estructural,Hormig�n armado,Parcial,Construccion,USA
452,2020,Florida,No definido,Deficiencia estructural,No definido,Parcial,Servicio,USA
453,1982,New York,No definido,Deficiencia estructural,No definido,Parcial,Construccion,USA
454,1987,Texas,No definido,Deficiencia estructural,No definido,Parcial,Construccion,USA
455,1993,New Hampshire,Armadura,Deficiencia estructural,Acero,Total,Construccion,USA
456,1911,California,Arco,Deficiencia estructural,Acero,Total,Construccion,USA
457,1995,California,Armadura,Deficiencia estructural,Hormig�n armado,Total,Servicio,USA
458,2018,Florida,Armadura,Deficiencia estructural,Hormig�n armado,Total,Servicio,USA
459,1892,Georgia,Suspension,Deficiencia estructural,Hierro fundido,Total,Construccion,USA
460,1894,Ohio,Armadura,Deficiencia estructural,Hierro fundido,Total,Servicio,USA
461,2007,Minnesota,Arco,Deficiencia estructural,Hormig�n armado,Total,Servicio,USA
462,1952,Massachusetts,Viga,Deficiencia estructural,Hormig�n armado,Total,Construccion,USA
463,1989,Maryland,Viga,Deficiencia estructural,Hormig�n armado,Total,Construccion,USA
464,1995,Tennessee,Viga,Deficiencia estructural,Hormig�n armado,Total,Construccion,USA
465,1921,Pennsylvania,Viga,Deficiencia estructural,Madera,Total,Servicio,USA
466,1950,Oregon,Armadura,Deficiencia estructural,Madera,Total,Servicio,USA
467,1970,Illinois,No definido,Deficiencia estructural,No definido,Total,Servicio,USA
468,1974,Welland  Canal,Armadura,Deficiencia operacional,Acero,Total,Servicio,Canada
469,1966,Aachen,Armadura,Erosion,Hormig�n armado,Total,Servicio,Belgica
470,2021,Mexico City Metro,Viga,Erosion,Hormig�n armado,Parcial,Servicio,Mexico
471,2021,Salmysh,Viga,Erosion,Hormig�n armado,Parcial,Servicio,Rusia
472,1904,Colorado,Viga,Erosion,Madera,Total,Servicio,USA
473,1970,A1,Atirantado,Falla aerodinamica,Hormig�n armado,Total,Servicio,Alemania
474,1833,"Chain suspension br. In Nassau, wooden deck",Armadura,Falla aerodinamica,Acero,Total,Servicio,Alemania
475,1923,Kiaochow,Arco,Falla aerodinamica,Acero,Parcial,Servicio,China
476,1997,Second Yibin Bridge,Armadura,Falla aerodinamica,Hormig�n armado,Total,Servicio,China
477,1850,Angers,Suspension,Falla aerodinamica,Madera,Total,Servicio,Francia
478,1907,La rasse,Armadura,Falla aerodinamica,Acero,Total,Construccion,Francia
479,1884,Viaduc d�Evaux-les-Bains,Armadura,Falla aerodinamica,Acero,Total,Servicio,Francia
480,1986,Amarube,No definido,Falla aerodinamica,No definido,Parcial,Servicio,Japon
481,1879,Firth of Tay,Armadura,Falla aerodinamica,Hierro Fundido,Parcial,Servicio,Reino Unido
482,2018,Tay Bridge,Viga,Falla aerodinamica,Acero,Parcial,Servicio,Reino Unido
483,1996,Chain suspension bridge,Suspension,Falla aerodinamica,Acero,Parcial,Servicio,Reino Unido
484,1965,Bangs,Arco,Falla aerodinamica,Madera,Total,Construccion,Suiza
485,1881,Tehama Bridge,Arco,Falla aerodinamica,Madera,Total,Servicio,USA
486,1963,Hoskins Covered Bridge,Armadura,Falla aerodinamica,Madera,Total,Servicio,USA
487,2003,Kinzua Bridge,Arco,Falla aerodinamica,Madera,Total,Servicio,USA
488,2006,Hoover Dam Bypass,Arco,Falla aerodinamica,Hormig�n armado,Total,Servicio,USA
489,1893,Big Four,Arco,Falla aerodinamica,Acero,Total,Servicio,USA
490,1864,Lewiston-Queenstown suspension bridge,Suspension,Falla aerodinamica,Acero,Total,Servicio,USA
491,1877,Omaha Railroad Bridge,Armadura,Falla aerodinamica,Acero,Total,Servicio,USA
492,1906,Utica Swing Bridge,Arco,Falla aerodinamica,Acero,Total,Servicio,USA
493,1938,Honeymoon Bridge,Arco,Falla aerodinamica,Acero,Total,Servicio,USA
494,1940,Tacoma Narrows Bridge,Suspension,Falla aerodinamica,Acero,Total,Servicio,USA
495,1944,Chester Bridge,Arco,Falla aerodinamica,Acero,Total,Servicio,USA
496,1946,Wailuku River Bridge,Arco,Falla aerodinamica,Acero,Total,Servicio,USA
497,1952,Island Park Bridge,Armadura,Falla aerodinamica,Acero,Total,Servicio,USA
498,1967,Silver Bridge,Suspension,Falla aerodinamica,Acero,Total,Servicio,USA
499,2004,Burr Oak Bridge,Armadura,Falla aerodinamica,Acero,Total,Servicio,USA
500,2018,44th Street Bridge,Atirantado,Falla aerodinamica,Acero,Total,Servicio,USA
501,1980,Newcastle Bridge,Armadura,Falla aerodinamica,Acero,Parcial,Servicio,USA
502,2015,Hurricane Creek Bridge,Arco,Falla aerodinamica,Acero,Parcial,Servicio,USA
503,No date,Elrod Bridge,Armadura,Falla aerodinamica,Acero,Parcial,Servicio,USA
504,1893,Kentucky,Armadura,Falla aerodinamica,Hierro fundido,Parcial,Construccion,USA
505,1854,West Virginia,Suspension,Falla aerodinamica,No definido,Parcial,Servicio,USA
506,1979,Washington,Colgante,Falla aerodinamica,No definido,Parcial,Servicio,USA
507,1940,Washington,Suspension,Falla aerodinamica,Hormig�n armado,Total,Servicio,USA
508,1944,Illinois,Armadura,Falla aerodinamica,Hormig�n armado,Total,Servicio,USA
509,1956,Ohio,No definido,Falla aerodinamica,No definido,Total,Servicio,USA
510,2010,Guaiba,Viga,Falla electrica,Hormig�n armado,Parcial,Servicio,Brasil
511,1974,Zell am See,Colgante,Falta de mantenimiento,Madera,Total,Servicio,Austria
512,1976,Reichsbr�cke,Viga,Falta de mantenimiento,Hormig�n armado,Total,Servicio,Austria
513,1976,Voralberg,Colgante,Falta de mantenimiento,Madera,Total,Servicio,Austria
514,2024,Juscelino de Oliveira,Viga,Falta de mantenimiento,Hormig�n armado,Total,Servicio,Brasil
515,2003,McBride,Trestle,Falta de mantenimiento,Madera,Total,Servicio,Canada
516,2019,Nanfang�ao,Viga,Falta de mantenimiento,Hormig�n armado,Total,Servicio,China
517,"Enero, 1996",Purnio,No definido,Falta de mantenimiento,Hormig�n armado,Total,Construccion,Colombia
518,2006,Pastaza,No definido,Falta de Mantenimiento,Madera,Total,Servicio,Ecuador
519,2013,Zamora,No definido,Falta de Mantenimiento,Acero,Total,Servicio,Ecuador
520,2014,Manabi,No definido,Falta de Mantenimiento,Madera,Parcial,Servicio,Ecuador
521,2017,Manabi,No definido,Falta de Mantenimiento,Acero,Parcial,Servicio,Ecuador
522,2019,Esmeraldas,No definido,Falta de Mantenimiento,Acero,Parcial,Servicio,Ecuador
523,2021,Manabi,No definido,Falta de Mantenimiento,Hormig�n armado,Total,Servicio,Ecuador
524,2021,Morona Santiago,No definido,Falta de Mantenimiento,Acero,Total,Servicio,Ecuador
525,2022,Guayas,No definido,Falta de Mantenimiento,Acero,Parcial,Servicio,Ecuador
526,2022,Pastaza,No definido,Falta de Mantenimiento,Acero,Parcial,Servicio,Ecuador
527,2003,Daman,No definido,Falta de mantenimiento,No definido,Total,Servicio,India
528,2011,Kutai Kartanegara,Suspension,Falta de mantenimiento,Hormig�n armado,Total,Construccion,Indonesia
529,2016,Lecco,Viga,Falta de mantenimiento,Hormig�n armado,Parcial,Servicio,Italia
530,2018,Wukari-Jalingo road,No definido,Falta de mantenimiento,Hormig�n armado,Parcial,Servicio,Nigeria
531,2005,Nuhaka,Armadura,Falta de mantenimiento,Acero,Total,Servicio,Nueva Zelanda
532,1952,Bury Knowsley,Viga,Falta de mantenimiento,Madera,Total,Servicio,Reino Unido
533,2024,Paninsky,No definido,Falta de mantenimiento,Hormig�n armado,Total,Servicio,Rusia
534,1983,Connecticut,No definido,Falta de mantenimiento,Hormig�n armado,Parcial,Servicio,USA
535,2022,Pennsylvania,Viga,Falta de mantenimiento,Hormig�n armado,Total,Servicio,USA
536,1980,Maracaibo,Atirantado,Falta de mantenimiento,Hormig�n armado,Parcial,Servicio,Venezuela
537,2014,Rio Acaragua,Viga,Fatiga,Hormig�n armado,Total,Servicio,Argentina
538,2024,Sanhui,Arco,Fatiga,No definido,Parcial,Servicio,China
539,2025,Cabagan-Santa Maria,Arco,Fatiga,Hormig�n armado,Parcial,Servicio,Filipinas
540,2001,Rio Kadalundi,No definido,Fatiga,No definido,Total,Servicio,India
541,2006,Bhagalpur,No definido,Fatiga,Hormig�n armado,Total,Servicio,India
542,2016,Rio Savitri,Arco,Fatiga,Piedra,Parcial,Servicio,India
543,2017,Rio Sanvordem,Viga,Fatiga,Acero,Parcial,Servicio,India
544,2018,Siliguri,No definido,Fatiga,No definido,Parcial,Servicio,India
545,1882,Inverythan,Armadura,Fatiga,Hierro Fundido,Total,Servicio,Reino Unido
546,1891,Norwood Junction,Armadura,Fatiga,Hierro Fundido,Total,Servicio,Reino Unido
547,2017,B1187,Viga,Fatiga,Hormig�n armado,Parcial,Servicio,Sudafrica
548,2007,Mississippi,Viga,Fatiga,Hormig�n armado,Parcial,Servicio,USA
549,1920,Wisconsin,Armadura,Fatiga,Acero,Total,Servicio,USA
550,1912,Pennsylvania,Armadura,Fatiga,Acero,Total,Servicio,USA
551,1876,Ohio,Armadura,Fatiga,Hierro fundido,Total,Servicio,USA
552,1967,Ohio,Suspension,Fatiga,Hormig�n armado,Total,Servicio,USA
553,1817,Grenzwald Bridge,Atirantado,Fuego,Hormig�n armado,Parcial,Servicio,Alemania
554,1825,Bill Williams Bridge,Viga,Fuego,Hormig�n armado,Parcial,Servicio,USA
555,1833,Hedong Cable-Stayed,Atirantado,Fuego,Acero,Parcial,Servicio,China
556,1836,Belle Isle,Viga,Fuego,Hormig�n armado,Parcial,Servicio,USA
557,1850,Indianapolis,Viga,Fuego,Hormig�n armado,Parcial,Servicio,USA
558,1852,Elkridge,Viga,Fuego,Hormig�n armado,Parcial,Servicio,USA
559,1854,California Avenue Overpass,Viga,Fuego,Hormig�n armado,Parcial,Servicio,USA
560,1864,Valdosta,Viga,Fuego,Hormig�n armado,Parcial,Servicio,USA
561,1875,Charilaos Trikoupis Bridge,Atirantado,Fuego,Acero,Parcial,Servicio,Grecia
562,1875,M4 Sud�frica,Viga,Fuego,Hormig�n armado,Parcial,Servicio,Sudafrica
563,1875,Portageville Railroad Bridge,Armadura,Fuego,Madera,Total,Servicio,USA
564,1875,New York,Viga,Fuego,Madera,Total,Servicio,USA
565,1881,Autobahn 57,Viga,Fuego,Hormig�n armado,Parcial,Servicio,Alemania
566,1881,Morelos,No definido,Fuego,No definido,Total,Servicio,Mexico
567,1884,Zakim Bridge,Atirantado,Fuego,Acero,Parcial,Servicio,USA
568,1887,Illinois,Armadura,Fuego,Madera,Total,Servicio,USA
569,1891,Liberty Bridge,Armadura,Fuego,Acero,Parcial,Servicio,USA
570,1893,General W.K. Wilson Jr. Bridge,Viga,Fuego,Acero,Parcial,Servicio,USA
571,1905,Belle Isle,Armadura,Fuego,Acero,Total,Servicio,USA
572,1905,I-30 in Forth Worth,Viga,Fuego,Hormig�n armado,Parcial,Servicio,USA
573,1906,Zolotoy Bridge,Atirantado,Fuego,Acero,Parcial,Servicio,Rusia
574,1912,I-75 Big slough Canal,Viga,Fuego,Hormig�n armado,Parcial,Servicio,USA
575,1912,Queensboro Bridge ,Arco,Fuego,Acero,Parcial,Servicio,USA
576,1913,Riderwood,Viga,Fuego,Hormig�n armado,Parcial,Servicio,USA
577,1913,Walt Whitman,Suspension,Fuego,Acero,Parcial,Servicio,USA
578,1916,Pulaski Skyway,Arco,Fuego,Acero,Parcial,Servicio,USA
579,1923,RI37 Expressway,Viga,Fuego,Acero,Parcial,Servicio,USA
580,1926,Queensboro Bridge ,Armadura,Fuego,Acero,Parcial,Servicio,USA
581,1930,Harrisburg (2),Viga,Fuego,Hormig�n armado,Parcial,Servicio,USA
582,1930,Harlem River Bridge,Arco,Fuego,Acero,Parcial,Servicio,USA
583,1933,Puente sobre el canal de Castilla,Arco,Fuego,Acero,Parcial,Servicio,Espa�a
584,1940,Rosario,Viga,Fuego,Hormig�n armado,Parcial,Servicio,Argentina
585,1941,Iowa,Viga,Fuego,Hormig�n armado,Parcial,Servicio,USA
586,1944,Xupu Bridge,Atirantado,Fuego,Acero,Parcial,Servicio,China
587,1945,Opatovice,Arco,Fuego,Acero,Parcial,Servicio,Republica Checa
588,1945,"U.S. 175 at Bexar Street, Dallas",Viga,Fuego,Hormig�n armado,Parcial,Servicio,USA
589,1945,North Little Rock,Viga,Fuego,Hormig�n armado,Parcial,Servicio,USA
590,1947,Pasarela F1,Armadura,Fuego,Acero,Parcial,Servicio,Espa�a
591,1949,Birmingham 2002,Viga,Fuego,Hormig�n armado,Parcial,Servicio,USA
592,1949,Brooklyn Bridge,Suspension,Fuego,Acero,Parcial,Servicio,USA
593,1949,Tappan Zee Bridge,Arco,Fuego,Acero,Parcial,Servicio,USA
594,1952,Delville Covered Bridge,Arco,Fuego,Madera,Parcial,Servicio,USA
595,1952,Throgs Neck Bridge,Suspension,Fuego,Acero,Parcial,Servicio,USA
596,1953,Queensboro Bridge ,Armadura,Fuego,Acero,Parcial,Servicio,USA
597,1957,Eko Bridge,Viga,Fuego,Hormig�n armado,Parcial,Servicio,Nigeria
598,1957,Britannia Tubular Bridge,Armadura,Fuego,Acero,Parcial,Servicio,Reino Unido
599,1957,Brooklyn-Queens Expressway 08,Viga,Fuego,Hormig�n armado,Parcial,Servicio,USA
600,1963,Cedar Bridge,Arco,Fuego,Hormig�n armado,Parcial,Servicio,Reino Unido
601,1963,Cedar Bridge,Armadura,Fuego,Hormig�n armado,Parcial,Servicio,USA
602,1963,Bayway ramp,Viga,Fuego,Hormig�n armado,Parcial,Servicio,USA
603,1963,Brucknen Expressway,Viga,Fuego,Hormig�n armado,Parcial,Servicio,USA
604,1964,Franklin (I),Viga,Fuego,Hormig�n armado,Parcial,Servicio,USA
605,1964,Bartow,Viga,Fuego,Hormig�n armado,Parcial,Servicio,USA
606,1965,Ambassador Bridge,Armadura,Fuego,Acero,Parcial,Servicio,USA
607,1967,Millersville,Viga,Fuego,Hormig�n armado,Parcial,Servicio,USA
608,1972,Atterbury Bridge,Viga,Fuego,Hormig�n armado,Parcial,Servicio,Sudafrica
609,1972,Puyallup River,Viga,Fuego,Hormig�n armado,Parcial,Servicio,USA
610,1972,Manhattan Bridge,Suspension,Fuego,Acero,Parcial,Servicio,USA
611,1976,Tchesch,Viga,Fuego,Hormig�n armado,Total,Servicio,Republica Checa
612,1977,Sao Paolo,Viga,Fuego,No definido,Total,Servicio,Brasil
613,1977,Manatee,Viga,Fuego,Hormig�n armado,Parcial,Servicio,USA
614,1980,Hagerstown,Viga,Fuego,Hormig�n armado,Parcial,Servicio,USA
615,1982,Belle Vernon Bridge,Arco,Fuego,Acero,Parcial,Servicio,USA
616,1987,I-285 over GA400,Viga,Fuego,Hormig�n armado,Parcial,Servicio,USA
617,1987,Big Four,Arco,Fuego,Acero,Parcial,Servicio,USA
618,1988,Chesapeake Bay Bridge,Arco,Fuego,Acero,Total,Servicio,USA
619,1989,Jeffersoncity,Viga,Fuego,Hormig�n armado,Parcial,Servicio,USA
620,1989,Burbank,Viga,Fuego,Hormig�n armado,Parcial,Servicio,USA
621,1993,Alexandra Bridge,Arco,Fuego,Acero,Parcial,Servicio,Canada
622,1993,Kapellbr�cke,No definido,Fuego,Madera,Parcial,Servicio,Suiza
623,1993,Birmingham 2004,Viga,Fuego,Hormig�n armado,Parcial,Servicio,USA
624,1995,Sweetwater,Viga,Fuego,Hormig�n armado,Parcial,Servicio,USA
625,1999,Highway M1,Viga,Fuego,Hormig�n armado,Parcial,Servicio,Reino Unido
626,1999,Chester Creek,Viga,Fuego,Hormig�n armado,Parcial,Servicio,USA
627,1999,Norfolk Southern Train,Arco,Fuego,Acero,Parcial,Servicio,USA
628,1999,Gilmore Bridge,Viga,Fuego,Hormig�n armado,Parcial,Servicio,USA
629,2001,Georgia,No definido,Fuego,Hormig�n armado,Parcial,Servicio,USA
630,2002,Montebello,Viga,Fuego,Hormig�n armado,Parcial,Servicio,USA
631,2002,Kansas,Arco,Fuego,Madera,Total,Servicio,USA
